what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1467687372898
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687374318
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687375332
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687375722
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687377032
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687378155
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687437838
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687438649
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687673001
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467687673532
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1467687683266
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467687689210
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1467687703842
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467687709396
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1467687758255
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687760252
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687767259
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687790862
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687798319
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687858503
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467687859065
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1467687867723
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467687869283
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687874634
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467687876038
